Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DER,Ex,1629395515.096436,0.36,0.00241902966577495,0,0.0,0.0003828116935151763,1.0,7,0,7,1629395515.096436,1629393715.096317,0.0038888886318530734,0.36,0.23192416958041953,300.00001311302185,0,0,0,0.08578404948971076,1,100.0,Do nothing
DCM,Ex,1629395515.096440,0.26,0.002419029723449109,0,0.0,0.0003828116999547407,1.0,7,0,7,1629395515.09644,1629393715.096357,0.003888888709633447,0.26,0.15752928214255443,300.00001406669617,0,0,0,0.07067318834472794,1,100.0,Do nothing
DERAS,Ex,1629395515.096443,0.31,0.002419029724987086,0,0.0,0.0003828117019322447,1.0,7,0,7,1629395515.096443,1629393715.096362,0.0038888887142693633,0.31,0.1614717886788504,300.00001287460327,0,0,0,0.06489955751191183,1,100.0,Do nothing
DTM,Ex,1629395515.096446,0.31,0.002419029726909558,0,0.0,0.0003828117015773081,1.0,7,0,7,1629395515.096446,1629393715.096365,0.0038888887137542615,0.31,0.1534491496333281,300.00001311302185,0,0,0,0.06070571415267876,1,100.0,Do nothing
DER,Ex,1629395815.096450,0.26,0.0030624935481214106,0,0.0,0.00041864116523222404,1.0,8,0,8,1629395815.09645,1629393715.096317,0.0038095235681858347,0.26,0.23286003059440555,300.00001406669617,0,0,0,0.0881926407683799,1,100.0,Do nothing
DCM,Ex,1629395815.096453,0.24,0.0030624935996379256,0,0.0,0.0004186411743103475,1.0,8,0,8,1629395815.096453,1629393715.096357,0.003809523635656663,0.24,0.16018962787989138,300.00001287460327,0,0,0,0.0684097107127598,1,100.0,Do nothing
DERAS,Ex,1629395815.096456,0.25,0.0030624936154579575,0,0.0,0.00041864117435787686,1.0,8,0,8,1629395815.096456,1629393715.096362,0.0038095236391167057,0.25,0.1642382952826363,300.00001311302185,0,0,0,0.06770577772371088,1,100.0,Do nothing
DTM,Ex,1629395815.096460,0.45,0.003062493612618465,0,0.0,0.0004186411727894052,1.0,8,0,8,1629395815.09646,1629393715.096365,0.003809523636954179,0.45,0.16243553903837876,300.00001406669617,0,0,0,0.030097579000112486,1,100.0,Do nothing
DER,Ex,1629396115.096463,0.39,0.0037677704870900165,0,0.0,0.0004529647634948635,1.0,9,0,9,1629396115.096463,1629393715.096317,0.0037499997720122475,0.39,0.23748179440045245,300.00001287460327,0,0,0,0.07307057740839386,1,100.0,Do nothing
DCM,Ex,1629396115.096466,0.28,0.0037677705687931273,0,0.0,0.0004529647701095701,1.0,9,0,9,1629396115.096466,1629393715.096357,0.003749999829754241,0.28,0.16361278136903737,300.00001311302185,0,0,0,0.06185035954420365,1,100.0,Do nothing
