Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,relative factor of certainty
DERAS,Ex,1608189958.719903,16,-1.0842934679136613e-37,0,5.266699715023983e-40,2.289869441314775e-41,6,23,29,1608190100.856582,1608189871.719525,0.5043604135319629,16.0,19.20682822368089,5.0,0,0,0,25.661146263297,0.46896551724137936
DERAS,N,1608189959.719908,19,-5.3582944926765735e-39,0,1.3748617545766086e-40,5.728590644069202e-42,6,24,30,1608190102.856582,1608189871.719525,0.5211897074340782,19.0,19.204580090814794,1.0,0,0,0,25.656201466316254,0.48
DCM,Ex,1608189960.719912,16,-2.7217234863561482e-33,0,3.524275198202059e-36,1.532293564435678e-37,3,23,26,1608190104.856582,1608189869.719499,0.4361104505916082,16.0,21.021895252771998,21.0,0,0,0,22.95117088853361,0.6153846153846154
DER,Ux,1608189961.719916,38,-0.0,0,0.0,0.0,5,15,20,1608190106.856582,1608189872.71953,0.35286036810823224,38.0,16.003257103951228,17.0,0,0,0,21.00870964588762,0.4
DERAS,Ux,1608189962.719921,37,-1.3977761171528853e-39,0,7.541455571236955e-42,3.016582228494782e-43,6,25,31,1608190108.856582,1608189871.719525,0.5369767586414691,37.0,19.391900300385164,5.0,0,0,0,25.78691964199303,0.4903225806451613
DER,N,1608189963.719925,24,-0.0,0,0.0,0.0,5,16,21,1608190110.856582,1608189872.71953,0.3699329952963527,24.0,16.086556509118402,3.0,0,0,0,21.052214480558657,0.4190476190476191
DER,Ind,1608189964.719929,39,-0.0,0,0.0,0.0,5,17,22,1608190112.856582,1608189872.71953,0.38718564138331335,39.0,16.322777576034706,1.0,0,0,0,21.26589587137339,0.43636363636363634
DER,N,1608189965.719933,36,-0.0,0,0.0,0.0,5,18,23,1608190114.856582,1608189872.71953,0.4043908900541149,36.0,16.523565559952722,1.0,0,0,0,21.431200353606975,0.4521739130434783
DTM,N,1608189966.719937,20,-1.2767147204096977e-26,0,1.835245395442352e-29,1.0195807752457512e-30,0,18,18,1608190116.856582,1608189870.719519,0.305463421308679,20.0,21.40669588048168,17.0,0,0,0,29.230839211382364,0.8
DTM,N,1608189967.719941,25,-1.9372034729669272e-28,0,4.9934317002446486e-30,2.6281219474971833e-31,0,19,19,1608190118.856582,1608189870.719519,0.3222061963241366,25.0,21.442628921676864,1.0,0,0,0,29.242498094729154,0.8
DERAS,Ux,1608189968.719948,17,-7.662118860376747e-41,0,1.9664394160665743e-43,7.563228523332978e-45,6,26,32,1608190120.856582,1608189871.719525,0.5515879061461935,17.0,19.36821811919323,11.0,0,0,0,25.77535538767897,0.5
rand.csv,16/12/2020
Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,relative factor of certainty
DCM,Ind,1608189869.719499,20,-1.0,0,0.1,0.1,0,1,1,1608190498.783117,1608189869.719499,0.0016153363972870461,20.0,10.0,0,0,0,0,13.784048752090222,0.8
DTM,N,1608189870.719519,43,-1.0,0,0.1,0.1,0,1,1,1608190508.783117,1608189870.719519,0.0016178205884085281,43.0,14.333333333333334,0,0,0,0,24.681301964577692,0.8
DERAS,Dis,1608189871.719525,34,-1.0,0,0.1,0.1,0,1,1,1608190518.783117,1608189871.719525,0.0016203506426561308,34.0,8.5,0,0,0,0,16.91646141090585,0.8
DER,Ex,1608189872.719530,18,0.1,0,0.0,0.1,1,0,1,1608190528.783117,1608189872.71953,0.0016228415467722732,18.0,3.6,0,0,0,0,7.993747556684537,0.8
DER,N,1608189873.719534,32,-0.9,0,0.0,0.0,1,1,2,1608190548.783117,1608189872.71953,0.0032453440841195354,32.0,8.333333333333334,10.0,0,0,0,14.618481453283716,0.0
DCM,Dis,1608189874.719538,21,-2.0,0,8.611568038067953e-06,4.305784019033976e-06,0,2,2,1608190568.783117,1608189869.719499,0.0032293380142754814,21.0,11.571428571428571,60.0,0,0,0,14.868470956067693,0.8
DTM,Ind,1608189875.719543,30,-2.0,0,7.392586688272085e-06,3.6962933441360425e-06,0,2,2,1608190588.783117,1608189870.719519,0.003234256676119036,30.0,16.291666666666668,70.0,0,0,0,25.799017146284577,0.8
DCM,Dis,1608189876.719547,36,-0.0001291735205710193,0,1.66831730319475e-09,5.561057677315833e-10,0,3,3,1608190608.783117,1608189869.719499,0.00484324485337587,36.0,14.285714285714285,30.0,0,0,0,17.804493814764854,0.8
DTM,Dis,1608189877.719551,28,-0.00011088880032408127,0,1.4343867786400538e-09,4.781289262133513e-10,0,3,3,1608190628.783117,1608189870.719519,0.004850760765902232,28.0,17.4625,30.0,0,0,0,26.3900045712357,0.8
DCM,Ex,1608189878.719556,23,-1.6127067264215918e-08,0,1.436278649071238e-13,4.787595496904127e-14,1,3,4,1608190648.783117,1608189869.719499,0.006456859164264636,23.0,15.077922077922075,30.0,0,0,0,18.26781286889558,0.4
DCM,Ux,1608189879.719560,23,-1.8671622437926097e-12,0,7.418672556903192e-17,1.854668139225798e-17,1,4,5,1608190668.783117,1608189869.719499,0.008070631612923393,23.0,15.738095238095235,10.0,0,0,0,18.640446179376546,0.48
DER,Ind,1608189880.719565,27,-0.0,0,0.0,0.0,1,2,3,1608190688.783117,1608189872.71953,0.004865647946710918,27.0,9.76923076923077,130.0,0,0,0,15.86364170690728,0.2666666666666667
DCM,Dis,1608189881.719569,32,-9.08787388220641e-16,0,1.5964202125159313e-20,3.1928404250318625e-21,1,5,6,1608190708.783117,1608189869.719499,0.009683526131149926,32.0,16.899659863945576,30.0,0,0,0,19.57897668310978,0.5333333333333334
DCM,Ux,1608189882.719573,22,-1.8837758507687988e-19,0,1.2366348378629159e-23,2.0610580631048597e-24,1,6,7,1608190728.783117,1608189869.719499,0.011296686117338637,22.0,17.239682539682537,10.0,0,0,0,19.73791835347076,0.5714285714285715
DERAS,Ind,1608189883.719578,23,-2.0,0,2.354802840428279e-06,1.1774014202141395e-06,0,2,2,1608190748.783117,1608189871.719525,0.0032378539055888827,23.0,9.40625,220.0,0,0,0,17.503809109257716,0.8
DERAS,Dis,1608189884.719582,37,-3.5322042606424185e-05,0,1.3723314729982786e-09,4.574438243327595e-10,0,3,3,1608190768.783117,1608189871.719525,0.004856498137329854,37.0,11.029411764705882,10.0,0,0,0,19.12461713060308,0.8
